diocese ID,root no,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,a,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,TIME GAP (Civil War),1861,1860,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850,1849,1848,1847,1846,1845,1844,1843,1842,1841,1840,1839,1838,1837,1836,1835,1834,1833
dal.tx,29,Dallas,Dallas,Dallas,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dav.ia,30,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport,Davenport (282),Davenport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
den.co,31,Denver,Denver,Denver,Denver,Denver,Denver,Denver,Denver,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColorado,VAColoradoUtah,VAColoradoUtah,ERROR: No data printed in almanac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
det.mi,32,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit,Detroit (127),Detroit (137),Detroit (133),,Detroit (93),Detroit (102),Detroit??,Detroit (118),Detroit (101),Detroit (82),Detroit (89),Detroit(131),Detroit (171),Detroit (126),Detroit (85),Detroit (104),Detroit (175),Detroit (158),Detroit (92),Detroit (188),Detroit (94),Detroit (91),Detroit (67),Detroit (87),Detroit (117),Detroit (90),Detroit (121),Detroit (93),Detroit (111),Detroit (71),Detroit (58),Detroit (56),Detroit
dul.mn,33,Duluth,Duluth,Duluth,Duluth,Duluth,Duluth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erie.pa,34,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie,Erie (166),Erie (63),Erie (62),,Erie (58),Erie (62),Erie (59),Erie (88),Erie (127),Erie (164),Erie (94),Erie (95),,,,,,,,,,,,,,,,,,,,,
for.in,35,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne (223),Fort Wayne (141),Fort Wayne (136),,Fort Wayne (96),Fort Wayne (106),Fort Wayne (102),Fort Wayne (116),,,,,,,,,,,,,,,,,,,,,,,,,
forh.id,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fort Hall (188),Fort Hall (191),Fort Hall (251),,,,,,,,,,,,,,,,
gal.tx,37,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,Galveston,ERROR: No data printed in almanac due to Civil War,ERROR: No data printed in almanac due to Civil War,,Galveston (112),Galveston (124),Galveston (120),Galveston (164),Galveston (249),Galveston (210),Galveston (214),galveston (227),Galveston (134),Galveston (182),Galveston (183),Galveston (188),Galveston (106),Galveston (118),Vicariate of Texas (190),Texas (206),,,,,,,,,,,,,
gra.mi,38,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
