instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.pa.0010,﻿church,﻿St. Peter's,English,﻿twice a month,,,,﻿Lancaster County,﻿Columbia,﻿Columbia,﻿PA,﻿PA,40.02957203,-76.50186656,,,,﻿ber_keenan_001,﻿Rev.,﻿Bernard Keenan,,,,,,,,1833,﻿https://stpetercolumbiapa.org/history,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0023,﻿church,﻿Sacred Heart,English,,,,,﻿Adams County,﻿Conewago,﻿Conewago,﻿PA,﻿PA,39.81875756,-77.03791245,,,,﻿mat_lekeu_901,﻿Rev.,﻿Matthew Lekeu,,,,,,,,1833,﻿https://www.sacredheartbasilica.com/history-of-sacred-heart,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0039,﻿church,not recorded,English,﻿occasionally,,,﻿Westmoreland County,,﻿Derry Township,,﻿PA,,40.39091437,-79.35472146,,,,﻿jam_a_stillinger_001,﻿Rev.,﻿James A. Stillinger,,,﻿Dw. at Blairsville,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0042,﻿church,not recorded,English,﻿twice a month,,,,﻿Cambria County,﻿Ebensburg,﻿Ebensburg,﻿PA,﻿PA,40.48878598,-78.7264887,,,,﻿jam_bradley_901,﻿Rev.,﻿James Bradley,,,,,,,,1833,﻿https://www.holynameebg.org/history,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0015,﻿church,﻿St. Peter's,English,﻿1st Sunday,,,,﻿Lancaster County,﻿Elizabethtown,﻿Elizabethtown,﻿PA,﻿PA,40.1500281,-76.60378334,,,,﻿mic_curran_901,﻿Rev.,﻿Michael Curran,,,﻿Dw. at Harrisburg,,,,,1833,﻿http://www.stpeteretown.org/weekly-bulletin.html,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0046,﻿church,﻿B. V. Nativity,English,﻿once a month,﻿Buffaloe Creek,,﻿Armstrong County,﻿Armstrong County,﻿Freeport,﻿Freeport,﻿PA,﻿PA,40.67408336,-79.68331684,,,,﻿pat_oneill_901,﻿Rev.,﻿Patrick O'Neill,,,,,,,,1833,﻿https://stmaryfreeport.com/history ; see the Buffaloe Creek notes section for rationale behind the ID assignment here,,﻿,﻿,Philadelphia,Philadelphia
﻿scr.pa.0088,﻿church,not recorded,English,﻿Church not yet dedicated,,,,﻿Susquehanna County,﻿Friendvsville,﻿Friendvsville,﻿PA,﻿PA,41.91814506,-76.04796095,,,,﻿w_clancey_901,﻿Rev.,﻿William J. Clancey,,,,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0029,﻿church,﻿St. Francis Xavier,English,﻿1st Sunday,,,,﻿Adams County,﻿Gettysburg,﻿Gettysburg,﻿PA,﻿PA,39.8287621,-77.2319783,,﻿from Conewago,,﻿mic_dougherty_901,﻿Rev.,﻿Michael Dougherty,,,,,,,,1833,"﻿https://www.stfxcc.org/history ; History-Time Line of STFX Chuch, R. Kenworthy.pdf",,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0048,﻿church,﻿Most H. Sacrament,English,﻿1st Sunday,,,,﻿Berks County,﻿Goshenhoppen,﻿Bally,﻿PA,﻿PA,40.39776372,-75.58118476,,,,﻿bon_corvin_901,﻿Rev.,﻿Boniface Corvin,,,,,,,,1833,﻿https://mbsbally.org/history-of-mbs ; https://stillwespeak.org/places/goshenhoppen-pa/,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0050,﻿church,﻿St. John Baptist,English,﻿once a month,﻿Harman's Bottom,,,﻿Somerset County,,﻿New Baltimore,﻿PA,﻿PA,39.98369025,-78.77549355,,,,﻿tho_heyden_901,﻿Rev.,﻿Thomas Heyden,,,,,,,,1833,﻿https://www.dailyamerican.com/story/lifestyle/home-garden/2014/07/05/ew-baltimore-a-charming-historical-village-with-friendly-caring-folks/44134893/ ; https://newbaltimorecatholic.com/the-parish/,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0001,﻿church,﻿St. Patrick's,English,﻿2nd & 4th Sundays,,,,﻿Dauphin County,﻿Harrisburg,﻿Harrisburg,﻿PA,﻿PA,40.26360912,-76.88657527,,,,﻿mic_curran_901,﻿Rev.,﻿Michael Curran,,,,,,,,1833,﻿https://www.stpatrickcathedral.com/,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.9002,﻿church,﻿St. Dennis,English,﻿twice a month,,,,,﻿Hartford Township,﻿Harford,﻿PA,﻿PA,41.7798848,-75.70739308,,,,﻿jam_cummiskey_901,﻿Rev.,﻿James Cummiskey,,,,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0051,﻿church,not recorded,English,﻿once a month,,,﻿Cambria County,﻿Cambria County,﻿Hart's Sleeping Place,﻿Patton,﻿PA,﻿PA,40.63333701,-78.70814978,,,,﻿jam_bradley_901,﻿Rev.,﻿James Bradley,,,,,,,,1833,﻿https://www.facebook.com/p/Saint-Josephs-Mission-Church-Harts-Sleeping-Place-100064389981207/ ; https://bonifacewimmer.org/harts-sleeping-place-first-stop-for-boniface-wimmer/ ; https://www.sjmc1830.com/harts-sleeping-place,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0055,﻿church,not recorded,English,﻿once a month,,,,﻿Bucks County,﻿Haycock,﻿Ottsville,﻿PA,﻿PA,40.49964127,-75.20502565,,,,﻿joh_j_curtin_901,﻿Rev.,﻿John J. Curtin,,,,,,,,1833,﻿https://stjohnsottsville.org/parish-history/,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0052,﻿church,not recorded,English,﻿once a month,,,,﻿Blair County,﻿Hollidaysburg,﻿Hollidaysburg,﻿PA,﻿PA,40.43000934,-78.38839889,,,,﻿joh_oreilly_901,﻿Rev.,﻿John O'Reilly,,,﻿resides at Newry,,,,,1833,﻿https://stmichael-hldg-pa.org/,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0054,﻿church,﻿Holy Trinity,English,﻿once a month,,,,﻿Huntingdon County,﻿Huntingdon,﻿Huntingdon,﻿PA,﻿PA,40.48607692,-78.01301671,,,,﻿pat_leavy_901,﻿Rev.,﻿Patrick Leavy,,,,,,,,1833,﻿https://mhtcc.org/parish-history-2/,,﻿,﻿,Philadelphia,Philadelphia
