instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,﻿hyp_de-luynes_001,﻿Rev.,﻿H. Deluynes,,﻿Professor,,,,﻿conducted by Roman Catholic clergymen,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,﻿wil_f_clarke_001,﻿Rev.,﻿Wm. E. Clark,,﻿Professor,,,,﻿conducted by Roman Catholic clergymen,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,﻿KY,37.56946499,-85.34408288,,,,﻿pet_chazelle_901,﻿Rev.,﻿Peter Chazelle,﻿S.J.,﻿President,,,,,,1837,,﻿https://en.wikipedia.org/wiki/St._Mary%27s_College_(Kentucky) ; https://explorekyhistory.ky.gov/items/show/260,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,,37.56946499,-85.34408288,,,,﻿tho_legouais_001,﻿Rev.,﻿Thomas Legouias,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,,37.56946499,-85.34408288,,,,﻿vit_giles_901,﻿Rev.,﻿Vital Giles,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,,37.56946499,-85.34408288,,,,﻿wil_murphy_901,﻿Rev.,﻿William Murphy,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,,37.56946499,-85.34408288,,,,﻿lew_petit_901,﻿Rev.,﻿Lewis Petit,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,,37.56946499,-85.34408288,,,,﻿nic_point_901,﻿Rev.,﻿Nicholas Point,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,,37.56946499,-85.34408288,,,,﻿f_x_evremond_901,﻿Rev.,﻿F. X. Evermond,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9012,﻿college,﻿St. Mary's Seminary,English,,,,﻿Washington County,﻿Marion County,,﻿Lebanon,﻿KY,,37.56946499,-85.34408288,,,,﻿sim_fouché_001,﻿Rev.,﻿F. Fouché,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0118,﻿academy,﻿Female Academy of Nazareth,English,,﻿Nazareth (community),,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.85131853,-85.4734955,,,,﻿joh_b_david_901,﻿Right Rev. Dr.,﻿David,,﻿Bishop,,,,﻿Conducted by the Sisters of Charity,,1837,,﻿https://nazareth.org/about/ ; https://www.kyhistory.com/digital/collection/PH/id/695/,"﻿Reading, Writing, Arithmetic, English Grammar, Geography, (with the use of the Globes,) History, Rhetoric, Botany, Natural Philosophy, including the principles of Astronomy; Opticks, Chemistry, &c.; Plain Sewing, Marking, Needlework, Drawing, Painting, Music, and the French Language. This last branch, to wit, (the French Language,) is taught with the greatest correctness, both as to grammar and pronunciation, there being actually in the institution several French sisters, besides others who understand and speak the language very correctly. A course of lectures on Rhetoric and Philosophy, (Natural and Moral,) shall be annually given by the Professor of St. Joseph's College. Lessons and Exercises in polite English Literature, will also be occasionally given.","﻿Reading, Writing, Arithmetic, English Grammar, Geography, (with the use of the Globes,) History, Rhetoric, Botany, Natural Philosophy, including the principles of Astronomy; Opticks, Chemistry, &c.; Plain Sewing, Marking, Needlework, Drawing, Painting, Music, and the French Language. This last branch, to wit, (the French Language,) is taught with the greatest correctness, both as to grammar and pronunciation, there being actually in the institution several French sisters, besides others who understand and speak the language very correctly. A course of lectures on Rhetoric and Philosophy, (Natural and Moral,) shall be annually given by the Professor of St. Joseph's College. Lessons and Exercises in polite English Literature, will also be occasionally given.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0118,﻿academy,﻿Female Academy of Nazareth,English,,﻿Nazareth (community),,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.85131853,-85.4734955,,,,﻿jos_haseltine_901,﻿Rev.,﻿J. Haseltine,,,,,,﻿Conducted by the Sisters of Charity,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0118,﻿academy,﻿Female Academy of Nazareth,English,,﻿Nazareth (community),,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.85131853,-85.4734955,,,,﻿ign_a_reynolds_901,﻿Rev.,﻿Rev. I. A. Reynolds,,,,,,﻿Conducted by the Sisters of Charity,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0118,﻿academy,﻿Female Academy of Nazareth,English,,﻿Nazareth (community),,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.85131853,-85.4734955,,,,,,﻿Benjamin Chapeze,﻿Esq.,,,,,﻿Conducted by the Sisters of Charity,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0118,﻿academy,﻿Female Academy of Nazareth,English,,﻿Nazareth (community),,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.85131853,-85.4734955,,,,﻿fra_gardiner_901,﻿Miss,﻿Frances Gardiner,,﻿Mother Superior,,,,﻿Conducted by the Sisters of Charity,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0118,﻿academy,﻿Female Academy of Nazareth,English,,﻿Nazareth (community),,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.85131853,-85.4734955,,,,﻿cat_spalding_901,﻿Miss,﻿Catherine Spalding,,,﻿former Mother Superior,,,﻿Conducted by the Sisters of Charity,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0121,﻿school,﻿Female School of St. Vincent of Paul,English,,﻿four miles and a half from Morganfield,,﻿Union County,,,,﻿KY,,37.6846318,-87.9179147,,,,﻿eli_j_durbin_001,﻿Rev.,﻿Elisha Durbin,,,,﻿boarder,﻿55 boarders,,,1837,,,"﻿The branches taught are as follows: Reading, Writing, Arithmetic, English Grammar, Geography, History; Plain and Fancy Needle-Work, Marking, Lace-Work, Bead-Work, &c.; Drawing and Painting in water colors; Music on the Piano Forte; also, Vocal Music.","﻿The branches taught are as follows: Reading, Writing, Arithmetic, English Grammar, Geography, History; Plain and Fancy Needle-Work, Marking, Lace-Work, Bead-Work, &c.; Drawing and Painting in water colors; Music on the Piano Forte; also, Vocal Music.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0121,﻿school,﻿Female School of St. Vincent of Paul,English,,﻿four miles and a half from Morganfield,,﻿Union County,,,,﻿KY,,37.6846318,-87.9179147,,,,﻿ang_spine_901,﻿Miss,﻿Angela Spine,,﻿Sister Superiour,,﻿student,﻿12 day scholars,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.9000,﻿academy,﻿Female Academy,English,,,,,,﻿Lexington,,﻿KY,,,,,,,,,,,,,﻿boarder,﻿30 boarders,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.9000,﻿academy,﻿Female Academy,English,,,,,,﻿Lexington,,﻿KY,,,,,,,,,,,,,﻿extern,﻿40 externs,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9029,﻿academy,﻿Female Academy,English,,,,,,﻿Louisville,,﻿KY,,,,,,,,,,,,,﻿student,﻿120 pupils,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9029,﻿academy,﻿Female Academy,English,,,,,,﻿Louisville,,﻿KY,,,,,,,,,,,,,﻿extern,﻿120 pupils,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9021,﻿academy,﻿Loretto Literary and Benevolent Institution,English,,,,﻿Washington County,﻿Marion County,﻿Loretto,﻿Nerinx,﻿KY,﻿KY,37.65963579,-85.39593267,,,,﻿ben_j_flaget_901,﻿Rt. Rev. Dr.,﻿Flaget,,﻿Moderator,﻿Bishop of Bardstown,,,,,1837,,,"﻿Reading, Writing, Arithmetic, English Grammar, Geography with the use of Maps and Globes, History, Ancient and Modern, with Chronology and Mythology, Rhetoric and Composition, Botany, Optics and the Elements of Mechanics, Hydrostatics and Astronomy, Chemistry and Natural Philosophy, the French Language, Needle work, plain and fancy, Marking, Lace and Bead work, Drawing and Painting in water colors, Crayon Drawing, Painting on Satin and Velvet, Music, Vocal and on the Piano Forte.","﻿Reading, Writing, Arithmetic, English Grammar, Geography with the use of Maps and Globes, History, Ancient and Modern, with Chronology and Mythology, Rhetoric and Composition, Botany, Optics and the Elements of Mechanics, Hydrostatics and Astronomy, Chemistry and Natural Philosophy, the French Language, Needle work, plain and fancy, Marking, Lace and Bead work, Drawing and Painting in water colors, Crayon Drawing, Painting on Satin and Velvet, Music, Vocal and on the Piano Forte.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9030,﻿academy,not recorded,English,,,,﻿Marion County,,﻿Lebanon,,﻿KY,,,,,,,,,,,,,﻿boarder,﻿75 boarders,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9022,﻿monastery,not recorded,English,,﻿Bethlehem,,,,﻿Elizabethtown,,﻿KY,,37.69995457,-85.87335513,,,,,,,,,,﻿boarder,﻿45 boarders,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9022_02,﻿female school,not recorded,English,,﻿Bethlehem,,,,﻿Elizabethtown,,﻿KY,,37.69995457,-85.87335513,,,,,,,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9034,﻿convent,﻿Convent of Holy Mary,English,﻿a branch establishment from Loretto,,,,,﻿Loretto,,﻿KY,,,,,,,,,,,,,﻿boarder,﻿20 boarders,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9031_02,﻿female academy,﻿Female Academy of Holy Mary,English,,,,,,,,,,,,,,,,,,,,,,,,,1837,,,,,,﻿,﻿,﻿Bardstown,Bardstown
