instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿chi.il.0052,﻿church,not recorded,﻿English and French,,,,﻿Davies County,﻿Jo Daviess County,﻿Galena,﻿Galena,﻿IL,﻿IL,42.415314,-90.430437,,,,﻿ch_f_fitzmaurice_901,﻿Rev.,﻿Ch. F. Fitzmaurice,,,,,,,,1835,"﻿https://en.wikipedia.org/wiki/Saint_Michael%27s_Catholic_Church_(Galena,_Illinois)",,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0053,﻿church,not recorded,English,,,,﻿Monroe County,,﻿Harrisonville,﻿Harrisonville,﻿IL,﻿IL,38.286709,-90.34952,,﻿visited by Rev. V. Van Cloostere,﻿once a month,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloostere,,,﻿visited once a month,,,,,1835,﻿https://www.hmdb.org/m.asp?m=226556,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0059,﻿church,﻿Church of the Conception,﻿English and French,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,﻿IL,37.922099,-89.915038,,,,﻿mat_condamine_902,﻿Rev.,﻿Matthew Condamine,,,,,,,,1835,"﻿https://en.wikipedia.org/wiki/Kaskaskia,_Illinois",,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0083,﻿church,﻿St. Patrick's,English,,,,﻿Randolph County,﻿Randolph County,﻿O'Hara'sburg,﻿Ruma,﻿IL,﻿IL,38.129478,-90.008774,,,﻿once a month,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloosteere,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.0092,﻿church,﻿St. Joseph,﻿French,,,,﻿Randolph County,﻿Randolph County,﻿Prairie du Rocher,﻿Prairie du Rocher,﻿IL,﻿IL,38.079235,-90.093336,,,﻿visited once a month,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloosteere,,,,,,,,1835,﻿http://www.stjoespdr.org/,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.9000,﻿church,not recorded,English,,,,﻿Sangamon County,,,,﻿IL,,,,,"﻿visited by Rev. P. Van Quickenborne, S.J.",,﻿cha_van-quickenborne_901,﻿Rev.,﻿C. Van Quickenborne,﻿SJ,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿chi.il.9002,﻿church,not recorded,English,,﻿on the Ill.[inois] river,,,,﻿Peoria,,﻿IL,,,,,,,﻿ire_s_cyr_901,﻿Rev.,﻿Irenœus St. Cyr.,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿lit.ar.0003,﻿church,not recorded,English,,,,,﻿Arkansas County,﻿Arkansas Post,﻿Gillett,﻿AR,﻿AR,34.01382102,-91.34448215,,﻿alternatively visited by Rev. E. Dupuy,,﻿enn_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,,1835,﻿https://www.nps.gov/arpo/learn/historyculture/index.htm ; https://home.nps.gov/arpo/learn/historyculture/arpo-timeline-4-decline.htm ; last list shows that this church in Arkansas Post was a short-lived effort,,,﻿,﻿,﻿St. Louis,StLouis
﻿lit.ar.9000,﻿church,not recorded,English,,,,,,﻿Pine Bluff,﻿Pine Bluff,﻿AR,﻿AR,34.213782,-92.001706,,﻿alternatively visited by Rev. E. Dupuy,,﻿enn_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,,1835,﻿https://www.dolr.org/parishes/st-peter-church-pine-bluff,,,﻿,﻿,﻿St. Louis,StLouis
﻿lit.ar.0001,﻿church,not recorded,English,,,,,,﻿Little Rock,,﻿AR,,34.7425025,-92.2723403,,﻿alternatively visited by Rev. E. Dupuy,,﻿enn_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
