instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿alb.ny.0059,﻿church,﻿St. James',English,,,,﻿Jefferson County,﻿Jefferson County,﻿Carthage,﻿Carthage,﻿NY,,43.9781236,-75.6093591,,,,﻿j_w_barry_001,﻿Rev.,﻿J. W. Barry,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0060,﻿church,﻿St. Patrick's,English,,,,﻿Greene County,﻿Greene County,﻿Catskill,﻿Catskill,﻿NY,,42.2173102,-73.8645734,,,,﻿j_h_maeyers_001,﻿Rev.,﻿J. H. W. Maeyers,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0062,﻿church,﻿St. James',English,,,,﻿Madison County,﻿Madison County,﻿Cazenovia,﻿Cazenovia,﻿NY,,42.9300668,-75.8526915,,,,﻿p_brady_001,﻿Rev.,﻿P. Brady,﻿.,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0063,﻿church,﻿St. Anne's,English,,,,﻿Clinton County,﻿Clinton County,﻿Centreville,﻿Mooers Forks,﻿NY,,44.9580936,-73.6406994,﻿alb.ny.0064,﻿attended from Champlain,,,,,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0064,﻿church,﻿St. Mary's,English,,,,﻿Clinton County,﻿Clinton County,﻿Champlain,﻿Champlain,﻿NY,,44.9864273,-73.4465251,,,,﻿o_la-salle_001,﻿Rev.,﻿O. La Salle,,﻿Pastor,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0064,﻿church,﻿St. Mary's,English,,,,﻿Clinton County,﻿Clinton County,﻿Champlain,﻿Champlain,﻿NY,,44.9864273,-73.4465251,,,,﻿cha_clement_002,﻿Rev.,﻿Charles Clement,,﻿Assistant,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0065,﻿church,﻿St. Patrick's,English,,,,﻿Franklin County,﻿Franklin County,﻿Chateaugay,﻿Chateaugay,﻿NY,,44.9259589,-74.0812346,,,,﻿edm_de-pauw_001,﻿Rev.,﻿Edmond de Pauw,﻿O.M.C.,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0065,﻿church,﻿St. Patrick's,English,,,,﻿Franklin County,﻿Franklin County,﻿Chateaugay,﻿Chateaugay,﻿NY,,44.9259589,-74.0812346,,,,﻿b_corney_001,﻿Rev.,﻿B. Corney,﻿O.M.C.,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0066,﻿church,not recorded,English,,,,,,﻿Chatham Centre,﻿Chatham Center,﻿NY,,42.4181391,-73.6140058,,,,,,,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0067,﻿church,﻿St. Patrick's,English,,,,﻿Columbia County,﻿Columbia County,﻿Chatham Four Corners,﻿Chatham,﻿NY,,42.3642516,-73.5948391,,,,﻿j_j_moriarty_001,﻿Rev.,﻿J. J. Moriarty,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0069,﻿church,not recorded,English,,,,,,﻿Cherry Valley,,﻿NY,,42.67097444,-74.51295598,﻿alb.ny.0083,﻿attended from Cooperstown,,,,,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0070,﻿church,not recorded,English,,,,﻿Clinton County,﻿Clinton County,﻿Chazy,﻿Chazy,﻿NY,,44.8895329,-73.4360334,﻿alb.ny.0084,﻿attended from Corbeau,,,,,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0071,﻿church,﻿St. Patrick's,English,,,,,﻿Madison County,﻿Chittenango,﻿Chittenango,﻿NY,,43.0495999,-75.904525,﻿alb.ny.0062,﻿attended from Cazenovia,,,,,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0072,﻿church,﻿St. Mary's,English,,"﻿Clayton, or French Creek, Jefferson Co.,",,﻿Jefferson County,﻿Jefferson County,"﻿Clayton, or French Creek",﻿Clayton,﻿NY,,44.239491,-76.0857759,,,,﻿jam_j_sherry_001,﻿Rev.,﻿James J. Sherry,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0073,﻿church,not recorded,English,,,,﻿Oneida County,﻿Oneida County,﻿Clayville,﻿Clayville,﻿NY,,42.98007,-75.2509965,,,,﻿phi_smith_001,﻿Rev.,﻿Philip Smith,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
