instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.9004_02&9004_03,﻿convent and academy,﻿Convent and Female Academy,English,,﻿at St. Charles,,,,,﻿St. Charles,﻿MO,,38.78621628,-90.4803639,,,,﻿#REF!,,﻿Madame Lucille Matheron,,,,,,﻿Ladies of the Sacred Heart,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9011&_02,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,﻿near St. Mary's Seminary,,﻿Perry County,﻿Perry County,﻿Bethlehem,﻿Perryville,﻿MO,﻿MO,37.726667,-89.884167,,,,﻿#REF!,,,,,,﻿orphan,﻿[?],,,1833,"﻿https://en.wikipedia.org/wiki/St._Mary%27s_of_the_Barrens_Catholic_Church_(Perryville,_Missouri)",,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9012&_02,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,﻿MO,37.55987001,-90.29889494,,,,﻿jos_rosati_901,﻿Rev.,﻿Rosati,,﻿Bishop,,,,,,1833,﻿Some history of the convent here on page 21: https://digital.library.missouri.edu/sites/default/files/2025-02/mu_417725.pdf,"﻿reading, writing, grammar, arithmetic, geography, history, painting, french, needle work, embroidery, music",,﻿,﻿,StLouis,StLouis
﻿stl.mo.9013&_02,﻿convent,﻿Convent of the Sisters of Loretto,English,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿fra_cellini_901,﻿Rev.,﻿F. Cellini,,,,,,,,1833,﻿https://dioscg.org/about/find-a-church/immaculate-conception-parish-new-madrid-mo/,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9031,﻿asylum and school,﻿Orphan asylum and school,English,,,,,,﻿St. Louis,,﻿MO,,,,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,"﻿https://stlouis.genealogyvillage.com/greenwood.htm ; seems impossible to prove which one this is. As with the other places above, it seems so many ophanages were opening up between 1832-1835 because of the cholera epidemic. Seems a near impossible task to figure out which one this is, let alone where it would have been if I could identify it.",,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9031,﻿asylum and school,﻿Orphan asylum and school,English,,,,,,﻿St. Louis,,﻿MO,,,,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9031,﻿asylum and school,﻿Orphan asylum and school,English,,,,,,﻿St. Louis,,﻿MO,,,,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9031,﻿asylum and school,﻿Orphan asylum and school,English,,,,,,﻿St. Louis,,﻿MO,,,,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9031,﻿asylum and school,﻿Orphan asylum and school,English,,,,,,﻿St. Louis,,﻿MO,,,,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9031,﻿asylum and school,﻿Orphan asylum and school,English,,,,,,﻿St. Louis,,﻿MO,,,,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,,﻿,﻿,StLouis,StLouis
