instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0035,﻿church,﻿Church of the Blessed Virgin,English,,,,﻿Dakota County,﻿Dakota County,﻿New-Treves,,,,44.601356,-92.934097,,﻿,,﻿p_bayer_001,﻿Rev.,﻿P. Bayer,,,,,,,,1869,30.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0036,﻿church,﻿Church of St. Patrick,English,,,,﻿Dakota County,﻿Dakota County,﻿Invergrove,,,,44.845243,-93.033827,﻿stp.mn.0033,﻿Visited by Rev. C. Genis,,,,,,,,,,,,1869,31.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0037,﻿church,not recorded,English,,,,﻿Dakota County,﻿Dakota County,﻿Bellwood,,,,44.683237,-92.877664,﻿stp.mn.0032,﻿Visited by Rev. F. Hurth,,,,,,,,,,,,1869,32.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0038,﻿church,not recorded,English,,,,﻿Dakota County,﻿Dakota County,﻿Lakeville,,,,44.649687,-93.24272,﻿stp.mn.0034,﻿Visited by Rev. A. Oster,,,,,,,,,,,,1869,33.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0039,﻿station,not recorded,English,,,,﻿Dakota County,﻿Dakota County,﻿Lewiston,,,,44.499702,-93.067637,﻿stp.mn.0035,﻿Visited by Rev. P. Bayer,,,,,,,,,,,,1869,34.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0040,﻿station,not recorded,English,,,,﻿Dakota County,﻿Dakota County,﻿Farmington,,,,44.640243,-93.14355,﻿stp.mn.0032,﻿Visited by Rev. F. Hurth,,,,,,,,,,,,1869,35.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0203,﻿church,﻿Church of St. Michael,English,,,,﻿Washington County,﻿Washington County,﻿Stillwater,,,,45.051158,-92.806301,,﻿,,﻿tho_murray_001,﻿Rev.,﻿Thomas Murray,,,,,,,,1869,36.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0204,﻿church,﻿St. Mary,﻿German,,,,﻿Washington County,﻿Washington County,﻿Stillwater,,,,45.05208,-92.809727,,﻿,,﻿wil_lette_001,﻿Rev.,﻿William Lette,,,,,,,,1869,37.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0205,﻿station,not recorded,English,,,,﻿Washington County,﻿Washington County,﻿Oakdale,,,,44.963022,-92.964936,﻿stp.mn.0204,﻿Visited by Rev. William Lette,,,,,,,,,,,,1869,38.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0206,﻿station,not recorded,English,,,,﻿Washington County,﻿Washington County,﻿Malone,,,,44.756915,-92.820045,﻿stp.mn.0203,﻿Visited by Rev. Thomas Murray,,,,,,,,,,,,1869,39.0,﻿,﻿,﻿St. Paul,StPaul
