instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bos.ma.0212,﻿house,﻿House of the Angel Guardian,English,﻿church about to be built,,,,,﻿Roxbury,﻿Boston,﻿MA,,42.360083,-71.05888,,,,﻿geo_f_haskins_001,﻿Rev.,﻿George F. Haskins,,﻿Rector,,﻿child,﻿300 boys,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0212,﻿house,﻿House of the Angel Guardian,English,﻿church about to be built,,,,,﻿Roxbury,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,,,,,,﻿teacher,﻿4 teachers,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0212,﻿house,﻿House of the Angel Guardian,English,﻿church about to be built,,,,,﻿Roxbury,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,,,,,,﻿student,﻿3 prefects of discipline,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0212,﻿school,﻿Select School for Boys,English,﻿church about to be built,,,,,﻿Roxbury,﻿Boston,﻿MA,,42.360083,-71.05888,,,,﻿geo_f_haskins_001,﻿Rev.,﻿George F. Haskins,,﻿Rector,,﻿student,﻿30 pupils,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0212,﻿school,﻿Select School for Boys,English,﻿church about to be built,,,,,﻿Roxbury,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,,﻿B. W. Whicher,﻿A.M.,﻿Precentor,,﻿student,﻿30 pupils,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0211,﻿asylum,﻿St. Vincent's Orphan Asylum,English,,﻿Camden street,,,,﻿Boston,﻿Boston,﻿MA,,42.33834,-71.081867,,,,,﻿Sr.,﻿Ann Alexis Schorb,,﻿Sister-Servant,,﻿child,﻿280 children,﻿under the care of the Sisters of Charity,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0200,﻿academy,﻿Academy of the Sisters of Notre Dame,English,,﻿Berkeley street,,,,﻿Boston,﻿Boston,﻿MA,,42.350441,-71.07266,,,,,,,,,,,,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0200,﻿select school,﻿Academy and Free School of the Sisters of Notre Dame,English,,﻿Lancaster Street,,,,﻿Boston,﻿Boston,﻿MA,,42.350441,-71.07266,,,,,﻿Sister,﻿Alphonse Marie,,﻿Superior,,﻿teacher,﻿5  teachers,﻿Sisters of Notre Dame,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0200,﻿select school,﻿Academy and Free School of the Sisters of Notre Dame,English,,﻿Lancaster Street,,,,﻿Boston,﻿Boston,﻿MA,,42.350441,-71.07266,,,,,,,,,,﻿teacher,﻿80 scholars,﻿Sisters of Notre Dame,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0200,﻿free school,﻿Academy and Free School of the Sisters of Notre Dame,English,,﻿Lancaster Street,,,,﻿Boston,﻿Boston,﻿MA,,42.350441,-71.07266,,,,,,,,,,﻿teacher,﻿8 teachers,﻿Sisters of Notre Dame,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0200,﻿free school,﻿Academy and Free School of the Sisters of Notre Dame,English,,﻿Lancaster Street,,,,﻿Boston,﻿Boston,﻿MA,,42.350441,-71.07266,,,,,,,,,,﻿teacher,﻿700 scholars,﻿Sisters of Notre Dame,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0200,"﻿convent, boarding school",﻿Academy and Free School of the Sisters of Notre Dame,English,,﻿on Dedham turnpike,,,,﻿Roxbury,﻿Boston,﻿MA,,42.350441,-71.07266,,,,,﻿Sister,﻿Mary Aloysius,,﻿Superior,,﻿student,﻿40 pupils,﻿Sisters of Notre Dame,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0010_02,﻿school,not recorded,English,﻿Parochial School for Girls,﻿Parish of SS. Peter and Paul,,,,﻿South Boston,,,,,,,,,,,,,,,﻿teacher,﻿14 teachers,﻿Sisters of Notre Dame,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0010_02,﻿school,not recorded,English,﻿Parochial School for Girls,﻿Parish of SS. Peter and Paul,,,,﻿South Boston,,,,,,,,,,,,,,,﻿student,﻿800 pupils,﻿Sisters of Notre Dame,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0011_02,﻿school,not recorded,English,,﻿Church of the Gate of Heaven,,,,,,,,42.335555,-71.030433,,,,,,,,,,﻿teacher,﻿7 teachers,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0011_02,﻿school,not recorded,English,,﻿Church of the Gate of Heaven,,,,,,,,42.335555,-71.030433,,,,,,,,,,﻿student,﻿250 pupils,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0227,﻿school,not recorded,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.380008,-71.025424,,,,,﻿Sister,﻿M. Honorée,,,,﻿teacher,﻿10 teachers,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0227,﻿school,not recorded,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.380008,-71.025424,,,,,,,,,,﻿student,﻿550 pupils,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0005_02,﻿school,not recorded,English,﻿Parochial School for Boys; under lay teachers,"﻿Suffolk Street, Church of the Holy Trinity (German)",,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,,,,,,﻿student,﻿152 pupils,,,1864,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
