instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,sources,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿alt.il.0092,﻿church,﻿St. Joseph,﻿French,,,,﻿Randolph County,﻿Randolph County,﻿Prairie du Rocher,﻿Prairie du Rocher,﻿IL,﻿IL,38.07923498,-90.09333592,,,﻿visited twice a month [by] Rev. V. Van Cloostere,﻿vit_van-cloostere_901,﻿Rev.,﻿V. Van Cloostere,,,,,,,,1836,﻿http://www.stjoespdr.org/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.9000,﻿church,not recorded,English,﻿and other places,,,﻿Sangamon County,,,,﻿IL,,,,,,﻿visited by Rev. M. Condamine,﻿mat_condamine_902,﻿Rev.,﻿M. Condamine,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿chi.il.9003,﻿church,not recorded,English,,,,﻿Hancock County,,,,,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿chi.il.9004,﻿church,not recorded,English,,,,﻿McDonough County,,,,,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.9003,﻿church,not recorded,English,,,,﻿Adams County,,,,,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿alt.il.9004,﻿church,not recorded,English,,,,﻿Pike County,,,,,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿lit.ar.0003,﻿church,not recorded,English,,,,,﻿Arkansas County,﻿Arkansas Post,﻿Gillett,﻿AR,﻿AR,34.01382102,-91.34448215,,,﻿visited alternatively by Rev. E. Dupuy,﻿enn_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,,1836,﻿https://www.nps.gov/arpo/learn/historyculture/index.htm ; https://home.nps.gov/arpo/learn/historyculture/arpo-timeline-4-decline.htm ; last list shows that this church in Arkansas Post was a short-lived effort,,,,﻿,﻿,﻿St. Louis,StLouis
﻿lit.ar.9000,﻿church,not recorded,English,,,,,,﻿Pine Bluff,﻿Pine Bluff,﻿AR,﻿AR,34.21378194,-92.00170641,,,﻿visited alternatively by Rev. E. Dupuy,﻿enn_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,,1836,﻿https://www.dolr.org/parishes/st-peter-church-pine-bluff,,,,﻿,﻿,﻿St. Louis,StLouis
﻿lit.ar.0001,﻿church,not recorded,English,,,,,,﻿Little Rock,,﻿AR,,34.7425025,-92.2723403,,,﻿visited alternatively by Rev. E. Dupuy,﻿enn_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿lit.ar.0001,﻿station,not recorded,English,﻿other stations,,,,,﻿Little Rock,,﻿AR,,34.7425025,-92.2723403,,,﻿visited alternatively by Rev. E. Dupuy,﻿enn_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.63642647,-90.2342251,,,,﻿pet_j_verhaegen_001,,﻿Peter. J. Verhaegen,,﻿President,,,,,,1836,﻿https://www.slu.edu/timeline/index.php,"﻿The Mercantile Department embraces Reading, Writing, the English and French Languages, Poetry, Rhetoric, History, Geography, Mythology, Book-Keeping, Arithmetic, Algebra, Geometry, the use of the Globes, Trigonometry, Mensuration, and Survey-ng. The Classical Department, besides the above specified subjects, comprises the Latin and Greek Languages, Logic, Metaphysics, Moral and Natural Philosophy, and the higher branches of the Mathematics.",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.63642647,-90.2342251,,,,﻿jam_van-de-velde_901,,﻿T. Van Develde,,﻿Vice President,,,,,,1836,,,,,﻿,﻿,﻿St. Louis,StLouis
