instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,notes,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.pa.0023,﻿church,﻿Sacred Heart,English,,,,,﻿Adams County,﻿Conewago,﻿Conewago,﻿PA,﻿PA,39.81875756,-77.03791245,,,,﻿mat_lekeu_901,﻿Rev.,﻿Matthew Lekeu,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0023,﻿church,﻿Sacred Heart,English,,,,,﻿Adams County,﻿Conewago,﻿Conewago,﻿PA,,39.81875756,-77.03791245,,,,﻿pau_kohlman_901,﻿Rev.,﻿Paul Kohlman,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0023,﻿church,﻿Sacred Heart,English,,,,,﻿Adams County,﻿Conewago,﻿Conewago,﻿PA,,39.81875756,-77.03791245,,,,﻿mic_dougherty_901,﻿Rev.,﻿Michael Dougherty,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0032,﻿church,﻿Christ Church,English,,,,,,,,,,,,,,﻿[visited] occasionally [by] Rev. F. M. Masquelet,﻿fra_m_masquelet_901,﻿Rev.,﻿F. M. Masquelet,,,,,,,,1835,"﻿leaving this as a harrisburg dio church, since I cannot find anything to the contrary: https://cburgcatholic.org/en/history",﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0039,﻿church,not recorded,English,,,,﻿Westmoreland County,,﻿Derry Township,,﻿PA,,,,,,,﻿jam_a_stillinger_001,﻿Rev.,﻿James A. Stillinger,,,﻿Dw. at Blairsville,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0110,﻿church,not recorded,English,,,,,,﻿Easton,,﻿PA,,,,,,﻿[visited] twice a month [by] Rev. H. Herzog,﻿hen_herzog_901,﻿Rev.,﻿H. Herzog,,,,,,,,1835,﻿see previous year's notes,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0042,﻿church,not recorded,English,,,,,﻿Cambria County,﻿Ebensburg,﻿Ebensburg,﻿PA,﻿PA,40.48878598,-78.7264887,,,﻿[visited] once a month [by] Rev. James Bradley,﻿jam_bradley_001,﻿Rev.,﻿James Bradley,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0015,﻿church,﻿St. Peter's,English,,,,,﻿Lancaster County,﻿Elizabethtown,﻿Elizabethtown,﻿PA,﻿PA,40.1500281,-76.60378334,,,﻿[visited every] 1st Sunday [by] Rev. Michael Curran,﻿mic_curran_001,﻿Rev.,﻿Michael Curran,,,﻿Dw. at Harrisburg,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0046,﻿church,﻿Ch. of the Nativity,English,,,,,﻿Armstrong County,﻿Freeport,﻿Freeport,﻿PA,﻿PA,40.67408336,-79.68331684,,,﻿[visited] once a month [by] Rev. P. Rafferty,﻿p_rafferty_901,﻿Rev.,﻿P. Rafferty,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿scr.pa.0088,﻿church,not recorded,English,,,,,﻿Susquehanna County,﻿Friendsville,﻿Friendsville,﻿PA,﻿PA,41.91814506,-76.04796095,,,,,,,,,﻿Vacant,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0029,﻿church,﻿St. Francis Xavier,English,,,,,﻿Adams County,﻿Gettysburg,﻿Gettysburg,﻿PA,﻿PA,39.8287621,-77.2319783,,,﻿[visited every] 1st Sunday [by] Rev. Michael Dougherty,﻿mic_dougherty_901,﻿Rev.,﻿Michael Dougherty,,,﻿PA,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0048,﻿church,﻿Most H. Sacrament,English,,,,,﻿Berks County,﻿Goshenhoppen,﻿Bally,﻿PA,﻿PA,40.39776372,-75.58118476,,,﻿[visited every] 1st Sunday [by] Rev. Boniface Corvin,﻿bon_corvin_901,﻿Rev.,﻿Boniface Corvin,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0050,﻿church,﻿St. John Baptist,English,,﻿Harman's Bottom,,,﻿Somerset County,,﻿New Baltimore,﻿PA,﻿PA,39.98369025,-78.77549355,,,﻿[visited] occasionally [by] Rev. James Bradley,﻿jam_bradley_001,﻿Rev.,﻿James Bradley,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
