instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cle.oh.0038,﻿church,﻿St. John's,English,,,,,﻿Stark County,﻿Canton,,﻿OH,,40.803291,-81.377341,,,,﻿bas_a_shorb_001,﻿Rev.,﻿Basil Shorb,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9016,﻿church,﻿St. Fidelis,English,,,,﻿Carrol County,﻿Carroll County,﻿Morges,,﻿OH,,,,,,,﻿f_d_hoffman_901,﻿Rev.,﻿F. de Sales Hoffman,﻿D. D.,,,,,,,1838,﻿https://rosetownshipohio.com/wp-content/uploads/2019/03/Rose-Township-History.pdf,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9016,﻿church,﻿St. Fidelis,English,,,,﻿Carrol County,﻿Carroll County,﻿Morges,,﻿OH,,,,,,,﻿bas_a_shorb_001,﻿Rev.,﻿Basil Shorb,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0071,﻿church,﻿St. Mary's,English,,,,,﻿Ross County,﻿Chillicothe,﻿Chillicothe,﻿OH,,,,,,,﻿hen_d_juncker_001,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0001,﻿church,not recorded,English,﻿no church,,,,﻿Cuyahoga County,﻿Cleveland,,﻿OH,,,,,,,﻿p_odwyer_901,﻿Rev.,﻿P. O'Dwyer,,﻿Resident pastor,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0001,﻿church,not recorded,English,﻿no church,,,,﻿Franklin County,﻿Columbus,,﻿OH,,,,,﻿visited by Rev. H. D. Yuncker,﻿once a month,﻿hen_d_juncker_001,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0001,﻿church,not recorded,English,﻿no church,,,,﻿Franklin County,﻿Columbus,,﻿OH,,,,,﻿visited by Rev. H. D. Yuncker,﻿once a month,﻿h_d_yuncker_901,﻿Rev.,﻿H. D. Yuncker,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9017,﻿church,not recorded,English,﻿church building,,,﻿Dark County,﻿Darke County,﻿Greenville,,﻿OH,,,,,,,﻿f_bartels_901,﻿Rev.,﻿F. Bartels,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0094,﻿church,﻿St. Stephen's,English,,,,﻿Butler County,﻿Butler County,﻿Hamilton,﻿Hamilton,﻿OH,﻿OH,39.401817,-84.560244,,﻿attended from Cincinnati,,,,,,,,,,,,1838,﻿https://en.wikipedia.org/wiki/St._Stephen_Church_and_Rectory,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0040,﻿church,﻿St. Mary's,English,,,,,﻿Fairfield County,﻿Lancaster,﻿Lancaster,﻿OH,﻿OH,39.712793,-82.598978,,,,﻿tho_martin_902,﻿Rev.,﻿Thomas Martin,,,,,,,,1838,﻿https://stmarylancaster.org/2018/our-parish/,,,﻿,﻿,﻿Cincinnati,Cincinnati
